"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2021","2022","2023","2024","2025"
"IMF.RES:WEO(6.0.0)","BGR.GGXCNL_NGDP.A","OBS_VALUE","Bulgaria","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-2.814","-0.803","-3.058","-2.93","-2.956"
"IMF.RES:WEO(6.0.0)","BFA.NGDPD.A","OBS_VALUE","Burkina Faso","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","19.654","18.906","20.283","21.858","23.562"
"IMF.RES:WEO(6.0.0)","BDI.GGXCNL_NGDP.A","OBS_VALUE","Burundi","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-5.25","-10.602","-8.441","-7.382","-3.626"
"IMF.RES:WEO(6.0.0)","BDI.NGDPD.A","OBS_VALUE","Burundi","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","3.351","3.917","4.241","4.285","2.154"
"IMF.RES:WEO(6.0.0)","BFA.GGXCNL_NGDP.A","OBS_VALUE","Burkina Faso","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-7.47","-10.749","-6.855","-5.69","-4.708"
"IMF.RES:WEO(6.0.0)","CPV.NGDPD.A","OBS_VALUE","Cabo Verde","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","2.053","2.309","2.588","2.756","2.936"
"IMF.RES:WEO(6.0.0)","CAF.GGXCNL_NGDP.A","OBS_VALUE","Central African Republic","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-6.021","-5.344","-3.551","-3.076","-1.83"
"IMF.RES:WEO(6.0.0)","KHM.NGDPD.A","OBS_VALUE","Cambodia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","36.797","39.838","43.304","47.147","51.159"
"IMF.RES:WEO(6.0.0)","CAF.NGDPD.A","OBS_VALUE","Central African Republic","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","2.585","2.46","2.631","2.823","3.026"
"IMF.RES:WEO(6.0.0)","CPV.GGXCNL_NGDP.A","OBS_VALUE","Cabo Verde","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-7.512","-4.146","-0.268","-2.882","-2.126"
"IMF.RES:WEO(6.0.0)","CHN.NGDPD.A","OBS_VALUE","China, People's Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","17759.307","17848.54","17758.046","18273.357","19534.894"
"IMF.RES:WEO(6.0.0)","TCD.GGXCNL_NGDP.A","OBS_VALUE","Chad","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-1.456","4.204","-1.331","-0.747","-2.624"
"IMF.RES:WEO(6.0.0)","CMR.GGXCNL_NGDP.A","OBS_VALUE","Cameroon","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-3.008","-1.112","-0.634","-0.458","-0.775"
"IMF.RES:WEO(6.0.0)","CMR.NGDPD.A","OBS_VALUE","Cameroon","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","45.036","44.442","49.287","53.391","57.746"
"IMF.RES:WEO(6.0.0)","KHM.GGXCNL_NGDP.A","OBS_VALUE","Cambodia","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-5.177","-0.288","-2.77","-2.277","-2.103"
"IMF.RES:WEO(6.0.0)","COL.NGDPD.A","OBS_VALUE","Colombia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","318.525","345.33","363.57","417.207","419.331"
"IMF.RES:WEO(6.0.0)","CHL.GGXCNL_NGDP.A","OBS_VALUE","Chile","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-7.521","1.356","-2.273","-2.323","-1.429"
"IMF.RES:WEO(6.0.0)","TCD.NGDPD.A","OBS_VALUE","Chad","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","15.933","16.261","17.605","18.67","19.647"
"IMF.RES:WEO(6.0.0)","CAN.NGDPD.A","OBS_VALUE","Canada","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","2007.472","2161.483","2142.471","2214.796","2330.308"
"IMF.RES:WEO(6.0.0)","CHN.GGXCNL_NGDP.A","OBS_VALUE","China, People's Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-6.045","-7.507","-6.945","-7.432","-7.557"
"IMF.RES:WEO(6.0.0)","COL.GGXCNL_NGDP.A","OBS_VALUE","Colombia","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-7.085","-6.17","-2.724","-4.393","-3.768"
"IMF.RES:WEO(6.0.0)","CIV.GGXCNL_NGDP.A","OBS_VALUE","Côte d'Ivoire","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-4.859","-6.812","-5.242","-4.049","-3.044"
"IMF.RES:WEO(6.0.0)","CAN.GGXCNL_NGDP.A","OBS_VALUE","Canada","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-2.919","0.109","-0.573","-1.982","-1.023"
"IMF.RES:WEO(6.0.0)","COD.NGDPD.A","OBS_VALUE","Congo, Democratic Republic of the","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","57.592","65.768","66.923","72.483","79.237"
"IMF.RES:WEO(6.0.0)","COM.GGXCNL_NGDP.A","OBS_VALUE","Comoros, Union of the","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-2.814","-3.974","-1.335","-2.793","-2.543"
"IMF.RES:WEO(6.0.0)","CRI.NGDPD.A","OBS_VALUE","Costa Rica","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","64.954","69.235","86.509","95.149","100.67"
"IMF.RES:WEO(6.0.0)","CYP.GGXCNL_NGDP.A","OBS_VALUE","Cyprus","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-1.821","2.732","3.082","3.142","3.167"
"IMF.RES:WEO(6.0.0)","COG.NGDPD.A","OBS_VALUE","Congo, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","13.387","13.967","14.169","15.044","15.92"
"IMF.RES:WEO(6.0.0)","COM.NGDPD.A","OBS_VALUE","Comoros, Union of the","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1.273","1.225","1.34","1.45","1.535"
"IMF.RES:WEO(6.0.0)","COD.GGXCNL_NGDP.A","OBS_VALUE","Congo, Democratic Republic of the","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-1.595","-0.508","-1.716","-2.02","-1.199"
"IMF.RES:WEO(6.0.0)","CHL.NGDPD.A","OBS_VALUE","Chile","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","315.601","302.16","335.642","328.72","362.24"
"IMF.RES:WEO(6.0.0)","HRV.GGXCNL_NGDP.A","OBS_VALUE","Croatia, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-2.521","0.131","-0.76","-2.525","-1.898"
"IMF.RES:WEO(6.0.0)","CZE.NGDPD.A","OBS_VALUE","Czech Republic","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","290.973","301.831","343.208","342.992","360.233"
"IMF.RES:WEO(6.0.0)","COG.GGXCNL_NGDP.A","OBS_VALUE","Congo, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","1.629","8.944","5.805","3.817","2.951"
"IMF.RES:WEO(6.0.0)","CIV.NGDPD.A","OBS_VALUE","Côte d'Ivoire","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","72.833","70.324","78.887","86.993","95.462"
"IMF.RES:WEO(6.0.0)","CRI.GGXCNL_NGDP.A","OBS_VALUE","Costa Rica","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-5.086","-2.805","-3.17","-3.71","-3.119"
"IMF.RES:WEO(6.0.0)","DNK.NGDPD.A","OBS_VALUE","Denmark","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","408.378","401.946","407.092","412.293","431.228"
"IMF.RES:WEO(6.0.0)","HRV.NGDPD.A","OBS_VALUE","Croatia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","69.651","72.059","82.711","89.665","96.028"
"IMF.RES:WEO(6.0.0)","DMA.NGDPD.A","OBS_VALUE","Dominica","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","0.555","0.607","0.654","0.703","0.748"
"IMF.RES:WEO(6.0.0)","DMA.GGXCNL_NGDP.A","OBS_VALUE","Dominica","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-8.222","-7.209","-2.162","-2.499","-2.303"
"IMF.RES:WEO(6.0.0)","DOM.NGDPD.A","OBS_VALUE","Dominican Republic","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","94.458","113.873","121.785","126.238","135.545"
"IMF.RES:WEO(6.0.0)","DJI.NGDPD.A","OBS_VALUE","Djibouti","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","3.386","3.726","4.011","4.334","4.665"
"IMF.RES:WEO(6.0.0)","DNK.GGXCNL_NGDP.A","OBS_VALUE","Denmark","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","4.098","3.444","3.306","1.793","0.864"
"IMF.RES:WEO(6.0.0)","DJI.GGXCNL_NGDP.A","OBS_VALUE","Djibouti","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-3.061","-1.419","-3.377","-4.472","-4.053"
"IMF.RES:WEO(6.0.0)","CZE.GGXCNL_NGDP.A","OBS_VALUE","Czech Republic","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-4.952","-3.055","-3.828","-2.872","-2.305"
"IMF.RES:WEO(6.0.0)","CYP.NGDPD.A","OBS_VALUE","Cyprus","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","29.502","29.274","32.239","34.79","37.689"
"IMF.RES:WEO(6.0.0)","EGY.GGXCNL_NGDP.A","OBS_VALUE","Egypt, Arab Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-6.955","-5.779","-5.768","-10.142","-10.065"
"IMF.RES:WEO(6.0.0)","SLV.GGXCNL_NGDP.A","OBS_VALUE","El Salvador","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-5.531","-2.688","-4.674","-4.483","-4.233"
"IMF.RES:WEO(6.0.0)","ECU.NGDPD.A","OBS_VALUE","Ecuador","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","107.435","116.586","118.845","121.425","125.658"
"IMF.RES:WEO(6.0.0)","GNQ.NGDPD.A","OBS_VALUE","Equatorial Guinea, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","12.222","13.516","11.975","12.884","12.918"
"IMF.RES:WEO(6.0.0)","EGY.NGDPD.A","OBS_VALUE","Egypt, Arab Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","423.3","475.231","393.828","380.044","345.874"
"IMF.RES:WEO(6.0.0)","DOM.GGXCNL_NGDP.A","OBS_VALUE","Dominican Republic","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-2.939","-3.247","-3.254","-3.054","-3.092"
"IMF.RES:WEO(6.0.0)","SLV.NGDPD.A","OBS_VALUE","El Salvador","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","29.043","31.989","34.016","35.848","37.843"
"IMF.RES:WEO(6.0.0)","ECU.GGXCNL_NGDP.A","OBS_VALUE","Ecuador","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-1.584","0.045","-3.553","-1.996","-1.114"
"IMF.RES:WEO(6.0.0)","SWZ.GGXCNL_NGDP.A","OBS_VALUE","Eswatini, Kingdom of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-4.487","-6.232","-1.472","-1.704","-3.659"
"IMF.RES:WEO(6.0.0)","GNQ.GGXCNL_NGDP.A","OBS_VALUE","Equatorial Guinea, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","2.653","11.84","2.459","2.993","0.322"
"IMF.RES:WEO(6.0.0)","SWZ.NGDPD.A","OBS_VALUE","Eswatini, Kingdom of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","4.851","4.791","4.856","5.145","5.422"
"IMF.RES:WEO(6.0.0)","EST.NGDPD.A","OBS_VALUE","Estonia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","37.222","38.401","41.297","43.044","45.309"
"IMF.RES:WEO(6.0.0)","FIN.NGDPD.A","OBS_VALUE","Finland","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","294.419","280.462","295.618","306.083","319.989"
"IMF.RES:WEO(6.0.0)","FJI.GGXCNL_NGDP.A","OBS_VALUE","Fiji, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-13.657","-12.135","-7.174","-4.37","-4.433"
"IMF.RES:WEO(6.0.0)","FIN.GGXCNL_NGDP.A","OBS_VALUE","Finland","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-2.866","-0.516","-2.718","-3.676","-3.117"
"IMF.RES:WEO(6.0.0)","ETH.NGDPD.A","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","99.269","118.968","159.747","145.031","120.913"
"IMF.RES:WEO(6.0.0)","EST.GGXCNL_NGDP.A","OBS_VALUE","Estonia, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-2.438","-0.957","-3.454","-2.975","-4.108"
"IMF.RES:WEO(6.0.0)","FJI.NGDPD.A","OBS_VALUE","Fiji, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","4.305","4.97","5.442","5.773","6.081"
"IMF.RES:WEO(6.0.0)","FRA.GGXCNL_NGDP.A","OBS_VALUE","France","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-6.584","-4.735","-5.455","-5.963","-5.917"
"IMF.RES:WEO(6.0.0)","FRA.NGDPD.A","OBS_VALUE","France","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","2968.405","2798.502","3052.712","3174.099","3283.429"
"IMF.RES:WEO(6.0.0)","GAB.NGDPD.A","OBS_VALUE","Gabon","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","19.455","20.485","20.059","20.897","20.974"
"IMF.RES:WEO(6.0.0)","ETH.GGXCNL_NGDP.A","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-2.767","-4.158","-2.599","-1.7","-1.7"
"IMF.RES:WEO(6.0.0)","DEU.NGDPD.A","OBS_VALUE","Germany","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","4351.188","4166.872","4527.009","4710.032","4921.563"
"IMF.RES:WEO(6.0.0)","GRC.NGDPD.A","OBS_VALUE","Greece","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","214.811","217.753","238.275","252.732","265.171"
"IMF.RES:WEO(6.0.0)","GAB.GGXCNL_NGDP.A","OBS_VALUE","Gabon","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-1.927","-0.89","-1.874","-3.889","-6.501"
"IMF.RES:WEO(6.0.0)","GMB.GGXCNL_NGDP.A","OBS_VALUE","Gambia, The","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-4.766","-4.946","-3.664","-2.73","-0.31"
"IMF.RES:WEO(6.0.0)","GEO.GGXCNL_NGDP.A","OBS_VALUE","Georgia","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-5.972","-2.56","-2.347","-2.503","-2.019"
"IMF.RES:WEO(6.0.0)","GEO.NGDPD.A","OBS_VALUE","Georgia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","18.849","24.985","30.536","33.191","35.908"
"IMF.RES:WEO(6.0.0)","GIN.NGDPD.A","OBS_VALUE","Guinea","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","16.32","19.589","23.005","25.474","27.295"
"IMF.RES:WEO(6.0.0)","GMB.NGDPD.A","OBS_VALUE","Gambia, The","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","2.045","2.161","2.361","2.693","3.014"
"IMF.RES:WEO(6.0.0)","GIN.GGXCNL_NGDP.A","OBS_VALUE","Guinea","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-1.701","-0.85","-1.775","-3.0","-2.613"
