Entity,Code,Year,Annual greenhouse gas emissions in CO₂ equivalents
World,OWID_WRL,1978,33151205000
World,OWID_WRL,1979,33198746000
World,OWID_WRL,1980,33347820000
World,OWID_WRL,1981,32570309000
World,OWID_WRL,1982,32320344000
World,OWID_WRL,1983,32752468000
World,OWID_WRL,1984,34383640000
World,OWID_WRL,1985,34802164000
World,OWID_WRL,1986,35424960000
World,OWID_WRL,1987,35869164000
World,OWID_WRL,1988,36640596000
World,OWID_WRL,1989,36901773000
World,OWID_WRL,1990,37335880000
World,OWID_WRL,1991,37748945000
World,OWID_WRL,1992,37381090000
World,OWID_WRL,1993,37327962000
World,OWID_WRL,1994,38563020000
World,OWID_WRL,1995,38797140000
World,OWID_WRL,1996,40186060000
World,OWID_WRL,1997,41658655000
World,OWID_WRL,1998,40217952000
World,OWID_WRL,1999,40655057000
World,OWID_WRL,2000,40732266000
World,OWID_WRL,2001,40393683000
World,OWID_WRL,2002,41334140000
World,OWID_WRL,2003,43886330000
World,OWID_WRL,2004,44371150000
World,OWID_WRL,2005,44987160000
World,OWID_WRL,2006,46601814000
World,OWID_WRL,2007,46866113000
World,OWID_WRL,2008,47752990000
World,OWID_WRL,2009,47577604000
World,OWID_WRL,2010,49800950000
World,OWID_WRL,2011,51089150000
World,OWID_WRL,2012,52088530000
World,OWID_WRL,2013,51811950000
World,OWID_WRL,2014,52359200000
World,OWID_WRL,2015,52443984000
World,OWID_WRL,2016,51361518000
World,OWID_WRL,2017,51949548000
World,OWID_WRL,2018,52420270000
World,OWID_WRL,2019,52796522000
World,OWID_WRL,2020,50792542000
World,OWID_WRL,2021,52938793000
World,OWID_WRL,2022,53327217000
World,OWID_WRL,2023,53816852000
