country,GDP_billion,trade_billion,influence_sensitivity,GHG_ktCO2,tCO2_per_capita
Indonesia,1371.171,485.2198275,0.353872585913792,1200199.79,4.29
"Iran, Islamic Republic of",372.82,55.02550429,0.147592683573843,996752.68,11.64
Iraq,252.407,158.312751417,0.6272122065434,362784.8,8.08
Ireland,551.554,340.70427013398,0.617716978090958,57853.27,11.58
Israel,513.611,153.4015126998,0.298672560945541,79578.17,5.36
Italy,2301.603,1338.481623856,0.581543221770218,374124.19,6.36
Jamaica,19.315,9.35336122311,0.484253752167227,8162.92,2.79
Japan,4219.828,1415.533932835,0.335448253539007,1041012.82,8.31
Jordan,50.885,36.927501251,0.725705045710917,33407.71,3.19
"Kazakhstan, Republic of",263.372,151.449022323,0.575038433557857,320349.98,16.6
Kenya,108.747,33.2849497969,0.306076947381537,107976.91,1.88
Kiribati,0.279,0.174377582,0.625009254480287,130.18,1.02
"Korea, Democratic People's Republic of",11.9329489963577,2.88143283,0.241468628658305,90148.48,3.45
"Korea, Republic of",1839.058,1240.965093352,0.674783010297663,653846.14,12.58
"Kosovo, Republic of",10.44,4.94363561,0.473528315134099,1000,2
Kuwait,163.716,41.4470667457,0.253164423426544,167915.77,37.45
Kyrgyz Republic,13.993,34.563651431,2.47006727871078,21698.23,3.32
Lao People's Democratic Republic,14.943,17.948927125428,1.20115954797752,42056.21,5.65
"Latvia, Republic of",43.64,50.703591944,1.16186049367553,10957.49,5.95
Lebanon,24.023,20.965799987,0.872738624942763,24672.32,4.27
"Lesotho, Kingdom of",2.211,2.848648876,1.28839840615106,2601.92,1.08
Liberia,4.39,26.458135579584,6.02691015480274,4532.39,0.82
Libya,43.958,55.315018406,1.25836067168661,95929.77,13.91
"Lithuania, Republic of",77.844,86.8640687685999,1.11587365459894,20683.66,7.35
Luxembourg,85.78,48.701366641754,0.567747337861437,7860.93,12.54
"Macao Special Administrative Region, People's Republic of China",47.061,21.020568925316,0.446666431340516,3119.01,4.57
"Madagascar, Republic of",15.79,7.798404702498,0.493882501741482,33150.78,1.11
Malawi,12.674,2.93196415728,0.231336922619536,19714.05,0.89
Malaysia,399.705,616.079689064,1.54133595792897,325405.85,9.53
Maldives,6.573,3.640294670009,0.553825448046402,3087.95,6.45
Mali,20.21,11.35531163684,0.561865988957941,45463.1,2.05
Malta,22.335,23.7954964385,1.06539048303112,2033.87,4.65
"Marshall Islands, Republic of the",0.259,19.12739482,73.8509452509653,1000,2
"Mauritania, Islamic Republic of",10.649,9.89358119705,0.929061996154568,16509.27,3.2
Mauritius,14.557,8.218212995083,0.564554028651714,6198.74,4.84
Mexico,1788.821,1773.981220749,0.991704156396308,712102.1,5.15
"Micronesia, Federated States of",0.46,0.61524394,1.33748682608696,1000,2
"Moldova, Republic of",16.576,12.0703101006,0.728179904717664,13542.41,3.41
Mongolia,20.315,24.057503984,1.1842236762983,83704.56,25.14
Montenegro,7.406,5.206653364535,0.703031780250473,67214.99,7.28
"Montserrat, United Kingdom-British Overseas Territory",0.128727939412725,0.031083759,0.241468628658305,1000,2
Morocco,144.438,107.2031547509,0.742208800668107,106602.23,2.78
"Mozambique, Republic of",20.958,29.0663893301,1.38688755272927,33953.98,0.97
Myanmar,64.505,43.4865476746,0.674157781173553,115077.25,2.05
Namibia,12.345,13.25161215994,1.07343962413447,12885.68,4.5
"Nauru, Republic of",0.154,0.285592794,1.85449866233766,1000,2
Nepal,40.907,11.607168773922,0.283745294788716,56830.98,1.82
"Netherlands, The",1154.694,1713.912788302,1.484300419247,1000,2
New Caledonia,17.9534306509629,4.335190279,0.241468628658305,6614.22,22.27
New Zealand,248.687,91.725349061856,0.368838536239755,84209.81,16.99
Nicaragua,17.843,14.4255266389,0.808469799859889,20628.27,3.12
Niger,16.809,2.030153741691,0.120777782241121,42334.09,1.57
Nigeria,363.816,121.6074273766,0.334255303165886,385112.88,1.73
"North Macedonia, Republic of",14.769,21.0860611871,1.42772436773647,11370.03,5.44
Norway,485.311,271.3466891084,0.559119181531842,56717.1,10.12
Oman,108.811,64.92186774,0.596648020328827,127443.02,23.43
Pakistan,337.457,83.8836135989,0.248575710679879,532374.48,2.43
"Palau, Republic of",0.282,0.190817592,0.676658127659574,1501.65,65.29
Panama,83.382,62.7297672333099,0.752317853173466,21281.69,4.76
Papua New Guinea,30.926,23.506187540545,0.760078495135,9641,1.04
Paraguay,42.955,44.01214621348,1.02461055089,41624.56,5.69
Peru,266.912,178.7647087277,0.669751486361423,94048.68,2.73
Philippines,437.146,227.1683643189,0.519662456751063,256147.15,2.24
"Poland, Republic of",811.736,785.549234543,0.967739800308229,363794.25,9.67
Portugal,287.187,199.2071619552,0.693649649723699,53004.61,5.24
Qatar,213.003,131.218648793445,0.616041317697146,154383.57,52.57
Romania,351.074,235.3659811621,0.670417009411406,105852.4,5.54
Russian Federation,2009.959,698.728382106294,0.347633151773889,2672039.44,18.66
Rwanda,14.097,4.373577578,0.310248817337022,7493.27,0.54
Samoa,0.934,0.553649487,0.592772470021413,1000,2
"San Marino, Republic of",1.988,0.642728639,0.323304144366197,1000,2
Saudi Arabia,1067.583,509.374662799,0.477128862860311,805158.11,22.17
Senegal,30.937,23.654799569,0.76461193939296,28843.73,1.55
"Serbia, Republic of",75.187,67.517689016,0.89799684807214,1000,2
Seychelles,2.141,1.917295889445,0.895514194042504,1338.71,13.8
Sierra Leone,6.397,2.728609996215,0.426545254996874,6937.72,0.81
Singapore,501.428,851.706509644,1.69856192642613,74290.13,12.22
"Sint Maarten, Kingdom of the Netherlands",5.00646529413427,1.208904309,0.241468628658305,1000,2
Slovak Republic,132.832,228.08924472,1.7171257281378,44775.61,8.22
"Slovenia, Republic of",69.168,142.0176959675,2.05322831320119,15993.52,7.69
Solomon Islands,1.633,1.597259219,0.978113422535211,720.82,1.05
Somalia,10.969,4.783786652038,0.436118757593035,32499.94,1.85
South Africa,380.592,329.9707290417,0.866993339433567,522115.49,8.61
"South Sudan, Republic of",7.178,1.861323832,0.259309533574812,138741.57,2.23
Spain,1620.558,888.623059929,0.548343879039812,285383.9,6.15
Sri Lanka,118.177021835745,28.5360434016,0.241468628658305,38403.85,1.81
St. Kitts and Nevis,1.056,0.442315317,0.418859201704545,174.47,3.01
St. Lucia,2.43,1.771612946,0.729058825514403,451.27,2.47
St. Vincent and the Grenadines,1.083,0.533077973174,0.492223428600185,150.78,1.36
Sudan,38.109,20.1288921958,0.528192610559185,1000,2
Suriname,3.747,1.955747252,0.521950160661863,3737.72,6.32
Sweden,584.914,390.88166267452,0.668272024048869,49118.37,4.76
Switzerland,894.811,771.655368824,0.862366878395549,43446.39,4.91
Syrian Arab Republic,31.7775745641818,7.6732873521,0.241468628658305,41210.58,1.92
"São Tomé and Príncipe, Democratic Republic of",0.684,0.207219523,0.302952519005848,1000,2
"Tajikistan, Republic of",11.855,9.806250142,0.827182635343737,21438.12,2.14
"Tanzania, United Republic of",79.138,30.6499920142,0.387298036521014,89815.44,1.31
Thailand,514.836,571.5101721205,1.1100819913924,440783.01,6.33
"Timor-Leste, Democratic Republic of",2.379,1.132268092,0.475942871794872,2007.18,1.36
Togo,9.081,17.0012062931,1.87217336120471,10612.91,1.18
Tonga,0.52,0.291070693,0.559751332692308,342.11,3.03
Trinidad and Tobago,28.024,14.12671429472,0.504093430442478,34187.02,24.76
Tunisia,48.541,42.608476017,0.877783235141427,43578.53,3.56
Turkmenistan,77.716,18.239610443,0.234695692560091,98794.12,15.73
Tuvalu,0.068,0.147673997,2.17167642647059,1000,2
"Türkiye, Republic of",1129.974,592.581595808,0.524420558179215,606429.86,7.1
Uganda,51.093,13.1470300821,0.257315680858435,53370.99,1.03
Ukraine,178.34,91.4260475057479,0.512650260770147,216092.81,5.04
United Arab Emirates,514.13,647.212238012999,1.25884939220236,267823.19,26.29
United Kingdom,3382.115,1207.061986909,0.356895607307558,379318.59,5.55
United States,27720.725,5644.889898462,0.203634280793955,5960804.38,17.61
Uruguay,77.241,26.1758548298,0.33888549901995,41634.11,11.8
"Uzbekistan, Republic of",101.584,48.761290849,0.48000955710545,214531.38,6.23
Vanuatu,1.123,0.570662387,0.508158848619768,670.21,2.15
"Venezuela, República Bolivariana de",99.203,19.2036860425,0.193579690558753,1000,2
Vietnam,433.702,708.488285748,1.63358316481824,524133.46,5.19
West Bank and Gaza,17.421,3.01846226305,0.17326572889329,1000,2
"Yemen, Republic of",18.806,11.4109616925,0.606772396708497,32242.87,1
Zambia,28.163,18.21827233068,0.646886778066257,30484.45,1.5
Zimbabwe,35.231,20.49524550441,0.581738965808805,31019.31,1.65
